timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,Hostname,Connect
1548168547657,6802000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168547657,50753,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168548658,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168548658,40302,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168548659,7084000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168548659,53634,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168549659,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168549659,40303,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168549660,7621000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168549660,51243,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168550661,-1984,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168550662,40303,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168550662,7346000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168550662,51133,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168551663,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168551663,40303,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168551663,8672000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168551663,51000,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168552664,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168552664,40303,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168552664,8917000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168552664,50995,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168553666,-399,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168553666,40303,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
